Policy ID,Insurance Provider,Policy Name,Coverage Type,Premium Amount (Annual),Coverage Details,Eligibility Criteria,Network Hospitals,Claim Settlement Ratio (%),Waiting Period,Exclusions,Additional Benefits,Category
POL1028,Cigna,Corporate Shield,Family,21269,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",126,88.05,3 months,Dental & Vision,Fitness Membership,Critical Illness
POL1029,Cigna,Basic Care,Senior Citizen,48988,"Hospitalization, OPD","60+ years, Medical Checkup Required",350,80.89,1 year,Cosmetic Surgery,Fitness Membership,Seniors
POL1030,Cigna,Senior Secure,Senior Citizen,15080,"Critical Illness, Surgery","Employed, Company-sponsored",372,84.17,6 months,Cosmetic Surgery,Free Annual Checkup,Corporate
POL1031,Humana,Comprehensive Plus,Individual,43132,Full Coverage,"60+ years, Medical Checkup Required",185,89.5,1 year,Cosmetic Surgery,Fitness Membership,Corporate
POL1032,Kaiser Permanente,Critical Guard,Family,14407,"Critical Illness, Surgery","60+ years, Medical Checkup Required",81,89.52,1 month,Pre-existing conditions (2 years),Discounted Medicines,Corporate
POL1033,Kaiser Permanente,Family Protect,Corporate,12891,Full Coverage,"Self-employed, Tax Benefits",240,86.59,6 months,Dental & Vision,Free Annual Checkup,Critical Illness
POL1034,MetLife,Corporate Shield,Senior Citizen,18456,"Critical Illness, Surgery","60+ years, Medical Checkup Required",136,80.94,6 months,Cosmetic Surgery,Discounted Medicines,Children
POL1035,Kaiser Permanente,Comprehensive Plus,Corporate,35073,Full Coverage,"Self-employed, Tax Benefits",430,78.77,1 month,Dental & Vision,Fitness Membership,Seniors
POL1036,Aetna,Senior Secure,Corporate,16614,"Hospitalization, OPD","Self-employed, Tax Benefits",151,73.95,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1037,UnitedHealth,Comprehensive Plus,Corporate,33749,"Hospitalization, OPD","18-60 years, No pre-existing conditions",306,94.03,3 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1038,MetLife,Family Protect,Senior Citizen,20129,Full Coverage,"18-60 years, No pre-existing conditions",423,79.38,1 year,Dental & Vision,Fitness Membership,Critical Illness
POL1039,Cigna,Family Protect,Corporate,39530,"Critical Illness, Surgery","Employed, Company-sponsored",467,70.08,2 years,Dental & Vision,Free Annual Checkup,Children
POL1040,Kaiser Permanente,Critical Guard,Corporate,32836,"Hospitalization, OPD","60+ years, Medical Checkup Required",462,81.04,6 months,Cosmetic Surgery,Free Annual Checkup,Seniors
POL1041,Kaiser Permanente,Critical Guard,Family,41627,"Critical Illness, Surgery","Employed, Company-sponsored",140,96.69,1 year,Pre-existing conditions (2 years),Free Annual Checkup,Critical Illness
POL1042,MetLife,Senior Secure,Family,49903,"Critical Illness, Surgery","Self-employed, Tax Benefits",128,74.77,1 month,Maternity Benefits,Discounted Medicines,Seniors
POL1043,Aetna,Critical Guard,Family,31294,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",297,84.85,1 year,Dental & Vision,Fitness Membership,Critical Illness
POL1044,Kaiser Permanente,Critical Guard,Family,42423,"Critical Illness, Surgery","60+ years, Medical Checkup Required",424,92.2,6 months,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1045,Kaiser Permanente,Basic Care,Individual,34769,"Maternity, Vision, Dental","Self-employed, Tax Benefits",61,76.47,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Children
POL1046,UnitedHealth,Basic Care,Corporate,23162,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",193,79.52,6 months,Dental & Vision,Discounted Medicines,Children
POL1047,Humana,Family Protect,Individual,44653,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",355,78.15,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1048,Kaiser Permanente,Basic Care,Corporate,25571,"Critical Illness, Surgery","Self-employed, Tax Benefits",184,79.88,1 year,Cosmetic Surgery,Free Annual Checkup,Adults
POL1049,Aetna,Basic Care,Individual,7685,Full Coverage,"60+ years, Medical Checkup Required",105,77.14,1 year,Cosmetic Surgery,Discounted Medicines,Critical Illness
POL1050,MetLife,Corporate Shield,Senior Citizen,40066,"Maternity, Vision, Dental","Self-employed, Tax Benefits",351,79.53,1 year,Maternity Benefits,Discounted Medicines,Corporate
POL1051,UnitedHealth,Comprehensive Plus,Corporate,24674,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",216,85.75,6 months,Cosmetic Surgery,24/7 Teleconsultation,Critical Illness
POL1052,Cigna,Corporate Shield,Family,30158,"Critical Illness, Surgery","60+ years, Medical Checkup Required",424,72.8,1 month,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL1053,MetLife,Basic Care,Family,5826,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",157,97.19,2 years,Maternity Benefits,Discounted Medicines,Critical Illness
POL1054,Aetna,Basic Care,Corporate,28732,"Maternity, Vision, Dental","Self-employed, Tax Benefits",385,73.3,6 months,Cosmetic Surgery,Discounted Medicines,Children
POL1055,UnitedHealth,Critical Guard,Corporate,41366,"Hospitalization, OPD","60+ years, Medical Checkup Required",117,73.99,3 months,Maternity Benefits,Fitness Membership,Critical Illness
POL1056,Humana,Senior Secure,Individual,12098,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",408,74.97,1 month,Dental & Vision,Discounted Medicines,Seniors
POL1057,Aetna,Family Protect,Individual,25357,"Maternity, Vision, Dental","Employed, Company-sponsored",52,91.04,6 months,Cosmetic Surgery,Discounted Medicines,Seniors
POL1058,MetLife,Senior Secure,Family,27106,"Hospitalization, OPD","60+ years, Medical Checkup Required",89,70.11,2 years,Maternity Benefits,Discounted Medicines,Critical Illness
POL1059,Humana,Senior Secure,Family,5625,"Critical Illness, Surgery","Self-employed, Tax Benefits",291,77.27,6 months,Maternity Benefits,24/7 Teleconsultation,Seniors
POL1060,Kaiser Permanente,Corporate Shield,Individual,17632,"Critical Illness, Surgery","60+ years, Medical Checkup Required",259,80.81,6 months,Dental & Vision,Discounted Medicines,Adults
POL1061,Humana,Corporate Shield,Family,19147,"Critical Illness, Surgery","Employed, Company-sponsored",291,97.09,1 month,Dental & Vision,Fitness Membership,Children
POL1062,Cigna,Corporate Shield,Corporate,25100,"Maternity, Vision, Dental","Employed, Company-sponsored",347,89.92,1 year,Dental & Vision,24/7 Teleconsultation,Children
POL1063,Kaiser Permanente,Comprehensive Plus,Senior Citizen,29204,"Critical Illness, Surgery","Employed, Company-sponsored",69,72.75,1 month,Cosmetic Surgery,Discounted Medicines,Seniors
POL1064,MetLife,Family Protect,Family,26262,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",485,92.12,3 months,Cosmetic Surgery,Fitness Membership,Adults
POL1065,UnitedHealth,Critical Guard,Family,26046,"Maternity, Vision, Dental","Employed, Company-sponsored",485,74.46,6 months,Pre-existing conditions (2 years),Free Annual Checkup,Critical Illness
POL1066,Cigna,Critical Guard,Individual,32670,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",464,80.3,3 months,Maternity Benefits,Free Annual Checkup,Seniors
POL1067,Kaiser Permanente,Critical Guard,Corporate,35747,"Maternity, Vision, Dental","Self-employed, Tax Benefits",284,82.27,1 month,Dental & Vision,24/7 Teleconsultation,Corporate
POL1068,MetLife,Family Protect,Individual,12631,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",463,88.1,1 year,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL1069,Blue Cross,Basic Care,Individual,30539,"Critical Illness, Surgery","60+ years, Medical Checkup Required",205,87.76,1 year,Cosmetic Surgery,Fitness Membership,Critical Illness
POL1070,MetLife,Critical Guard,Corporate,11345,"Hospitalization, OPD","60+ years, Medical Checkup Required",142,82.74,6 months,Dental & Vision,Fitness Membership,Children
POL1071,MetLife,Corporate Shield,Individual,43206,"Hospitalization, OPD","60+ years, Medical Checkup Required",197,90.97,1 month,Dental & Vision,Free Annual Checkup,Adults
POL1072,Cigna,Comprehensive Plus,Individual,37000,"Critical Illness, Surgery","Self-employed, Tax Benefits",491,75.2,2 years,Cosmetic Surgery,Fitness Membership,Corporate
POL1073,Aetna,Critical Guard,Corporate,24648,Full Coverage,"60+ years, Medical Checkup Required",69,87.03,2 years,Pre-existing conditions (2 years),Discounted Medicines,Corporate
POL1074,Cigna,Comprehensive Plus,Senior Citizen,9777,Full Coverage,"Self-employed, Tax Benefits",67,84.21,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Children
POL1075,Blue Cross,Comprehensive Plus,Individual,13956,"Hospitalization, OPD","Employed, Company-sponsored",366,94.63,1 year,Maternity Benefits,Discounted Medicines,Critical Illness
POL1076,Aetna,Family Protect,Corporate,20964,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",319,85.56,6 months,Maternity Benefits,Fitness Membership,Critical Illness
POL1077,Aetna,Family Protect,Family,29952,"Hospitalization, OPD","Employed, Company-sponsored",53,94.17,3 months,Dental & Vision,24/7 Teleconsultation,Corporate
POL1078,Cigna,Critical Guard,Family,16909,"Critical Illness, Surgery","Self-employed, Tax Benefits",274,83.17,3 months,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1079,Blue Cross,Senior Secure,Corporate,14707,"Critical Illness, Surgery","Self-employed, Tax Benefits",241,97.68,6 months,Dental & Vision,24/7 Teleconsultation,Adults
POL1080,MetLife,Basic Care,Family,44021,"Critical Illness, Surgery","Employed, Company-sponsored",332,90.24,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1081,Kaiser Permanente,Basic Care,Corporate,13031,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",56,76.07,2 years,Dental & Vision,24/7 Teleconsultation,Corporate
POL1082,Kaiser Permanente,Corporate Shield,Senior Citizen,22702,"Critical Illness, Surgery","Employed, Company-sponsored",228,90.08,6 months,Cosmetic Surgery,Discounted Medicines,Corporate
POL1083,UnitedHealth,Critical Guard,Senior Citizen,17563,"Critical Illness, Surgery","60+ years, Medical Checkup Required",110,70.63,6 months,Dental & Vision,Discounted Medicines,Corporate
POL1084,Humana,Senior Secure,Individual,12126,"Critical Illness, Surgery","60+ years, Medical Checkup Required",164,71.57,1 month,Maternity Benefits,Free Annual Checkup,Adults
POL1085,Blue Cross,Corporate Shield,Family,18048,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",309,72.15,1 month,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL1086,MetLife,Critical Guard,Senior Citizen,13059,Full Coverage,"Self-employed, Tax Benefits",198,95.53,1 year,Dental & Vision,Discounted Medicines,Adults
POL1087,Humana,Comprehensive Plus,Corporate,6659,"Hospitalization, OPD","Employed, Company-sponsored",363,71.5,2 years,Dental & Vision,Discounted Medicines,Seniors
POL1088,MetLife,Senior Secure,Family,25693,Full Coverage,"60+ years, Medical Checkup Required",432,85.3,2 years,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1089,UnitedHealth,Corporate Shield,Senior Citizen,29505,"Critical Illness, Surgery","60+ years, Medical Checkup Required",498,73.32,3 months,Cosmetic Surgery,Discounted Medicines,Seniors
POL1090,Blue Cross,Comprehensive Plus,Senior Citizen,20766,"Maternity, Vision, Dental","Self-employed, Tax Benefits",244,93.3,2 years,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1091,Humana,Comprehensive Plus,Senior Citizen,22224,"Hospitalization, OPD","18-60 years, No pre-existing conditions",229,77.97,1 year,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1092,Kaiser Permanente,Comprehensive Plus,Family,18436,"Hospitalization, OPD","Self-employed, Tax Benefits",235,95.46,6 months,Cosmetic Surgery,Fitness Membership,Critical Illness
POL1093,UnitedHealth,Critical Guard,Individual,7325,"Maternity, Vision, Dental","Employed, Company-sponsored",447,80.46,2 years,Maternity Benefits,Fitness Membership,Children
POL1094,Humana,Critical Guard,Corporate,39561,"Hospitalization, OPD","Employed, Company-sponsored",213,93.11,1 year,Dental & Vision,Fitness Membership,Seniors
POL1095,Humana,Family Protect,Corporate,15840,"Hospitalization, OPD","18-60 years, No pre-existing conditions",309,73.38,2 years,Maternity Benefits,Fitness Membership,Adults
POL1096,Humana,Corporate Shield,Individual,37241,"Maternity, Vision, Dental","Self-employed, Tax Benefits",162,91.82,2 years,Cosmetic Surgery,Fitness Membership,Critical Illness
POL1097,Cigna,Comprehensive Plus,Senior Citizen,9242,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",367,72.85,3 months,Cosmetic Surgery,Fitness Membership,Children
POL1098,Blue Cross,Comprehensive Plus,Individual,43740,"Maternity, Vision, Dental","Self-employed, Tax Benefits",460,97.58,3 months,Pre-existing conditions (2 years),Discounted Medicines,Children
POL1099,UnitedHealth,Family Protect,Family,39542,"Critical Illness, Surgery","Self-employed, Tax Benefits",169,88.62,1 month,Dental & Vision,Free Annual Checkup,Corporate
POL1100,MetLife,Corporate Shield,Corporate,37297,Full Coverage,"18-60 years, No pre-existing conditions",390,90.34,1 year,Dental & Vision,24/7 Teleconsultation,Corporate
POL1101,Cigna,Family Protect,Family,9189,"Hospitalization, OPD","Employed, Company-sponsored",318,86.34,3 months,Cosmetic Surgery,Fitness Membership,Corporate
POL1102,MetLife,Senior Secure,Individual,38165,Full Coverage,"Employed, Company-sponsored",55,74.33,2 years,Cosmetic Surgery,Free Annual Checkup,Adults
POL1103,Kaiser Permanente,Corporate Shield,Corporate,31758,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",240,91.93,2 years,Pre-existing conditions (2 years),Fitness Membership,Corporate
POL1104,Aetna,Corporate Shield,Family,18840,"Hospitalization, OPD","Employed, Company-sponsored",95,93.87,2 years,Maternity Benefits,Free Annual Checkup,Critical Illness
POL1105,Blue Cross,Family Protect,Individual,20941,"Maternity, Vision, Dental","Employed, Company-sponsored",451,93.01,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1106,Blue Cross,Comprehensive Plus,Senior Citizen,11297,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",140,94.24,1 year,Maternity Benefits,Discounted Medicines,Corporate
POL1107,MetLife,Comprehensive Plus,Corporate,47093,"Maternity, Vision, Dental","Employed, Company-sponsored",342,86.66,1 year,Maternity Benefits,Discounted Medicines,Children
POL1108,Blue Cross,Senior Secure,Corporate,34694,"Critical Illness, Surgery","Self-employed, Tax Benefits",289,89.3,6 months,Cosmetic Surgery,Discounted Medicines,Corporate
POL1109,Humana,Corporate Shield,Senior Citizen,32547,"Hospitalization, OPD","60+ years, Medical Checkup Required",203,75.06,1 month,Maternity Benefits,24/7 Teleconsultation,Adults
POL1110,UnitedHealth,Senior Secure,Individual,24289,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",373,74.84,6 months,Cosmetic Surgery,Free Annual Checkup,Seniors
POL1111,Blue Cross,Comprehensive Plus,Family,45547,"Maternity, Vision, Dental","Self-employed, Tax Benefits",406,75.34,1 year,Maternity Benefits,Fitness Membership,Critical Illness
POL1112,Blue Cross,Corporate Shield,Individual,5233,"Maternity, Vision, Dental","Employed, Company-sponsored",398,80.35,1 month,Dental & Vision,Free Annual Checkup,Seniors
POL1113,MetLife,Comprehensive Plus,Corporate,31353,Full Coverage,"Employed, Company-sponsored",499,92.48,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1114,Humana,Senior Secure,Individual,14403,"Maternity, Vision, Dental","Employed, Company-sponsored",190,80.9,6 months,Cosmetic Surgery,Fitness Membership,Critical Illness
POL1115,Cigna,Critical Guard,Family,11725,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",407,71.58,1 year,Pre-existing conditions (2 years),24/7 Teleconsultation,Adults
POL1116,UnitedHealth,Comprehensive Plus,Individual,6751,Full Coverage,"18-60 years, No pre-existing conditions",446,78.11,6 months,Cosmetic Surgery,Fitness Membership,Children
POL1117,UnitedHealth,Critical Guard,Family,8614,"Hospitalization, OPD","18-60 years, No pre-existing conditions",284,92.6,1 year,Dental & Vision,24/7 Teleconsultation,Adults
POL1118,UnitedHealth,Comprehensive Plus,Individual,45802,"Critical Illness, Surgery","Self-employed, Tax Benefits",201,92.9,1 month,Cosmetic Surgery,Discounted Medicines,Corporate
POL1119,Aetna,Senior Secure,Individual,24767,"Maternity, Vision, Dental","Self-employed, Tax Benefits",427,79.83,1 month,Maternity Benefits,Free Annual Checkup,Children
POL1120,Blue Cross,Basic Care,Individual,16904,"Hospitalization, OPD","60+ years, Medical Checkup Required",378,84.04,1 month,Pre-existing conditions (2 years),Fitness Membership,Adults
POL1121,Aetna,Senior Secure,Corporate,23643,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",455,80.72,1 month,Pre-existing conditions (2 years),Fitness Membership,Seniors
POL1122,MetLife,Basic Care,Family,11498,"Hospitalization, OPD","Self-employed, Tax Benefits",189,78.31,1 month,Cosmetic Surgery,Free Annual Checkup,Critical Illness
POL1123,Kaiser Permanente,Basic Care,Corporate,5254,Full Coverage,"Self-employed, Tax Benefits",294,75.95,1 year,Pre-existing conditions (2 years),24/7 Teleconsultation,Corporate
POL1124,UnitedHealth,Comprehensive Plus,Corporate,44815,"Critical Illness, Surgery","60+ years, Medical Checkup Required",278,83.28,1 month,Pre-existing conditions (2 years),Fitness Membership,Critical Illness
POL1125,Blue Cross,Corporate Shield,Individual,28054,Full Coverage,"Self-employed, Tax Benefits",380,71.43,1 month,Dental & Vision,24/7 Teleconsultation,Corporate
POL1126,Aetna,Corporate Shield,Senior Citizen,18654,"Hospitalization, OPD","Employed, Company-sponsored",390,92.78,3 months,Cosmetic Surgery,Discounted Medicines,Corporate
POL1127,Kaiser Permanente,Family Protect,Individual,32201,"Hospitalization, OPD","60+ years, Medical Checkup Required",238,81.45,6 months,Dental & Vision,24/7 Teleconsultation,Corporate
POL1128,Cigna,Corporate Shield,Family,29526,"Maternity, Vision, Dental","Employed, Company-sponsored",370,91.95,1 year,Pre-existing conditions (2 years),Fitness Membership,Adults
POL1129,Humana,Family Protect,Family,25932,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",250,75.57,3 months,Dental & Vision,Free Annual Checkup,Adults
POL1130,Cigna,Comprehensive Plus,Family,36413,"Critical Illness, Surgery","18-60 years, No pre-existing conditions",468,89.52,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Seniors
POL1131,UnitedHealth,Senior Secure,Individual,19430,"Hospitalization, OPD","60+ years, Medical Checkup Required",177,82.29,3 months,Dental & Vision,Fitness Membership,Critical Illness
POL1132,Kaiser Permanente,Comprehensive Plus,Family,28135,Full Coverage,"Employed, Company-sponsored",283,95.73,2 years,Maternity Benefits,Free Annual Checkup,Children
POL1133,Blue Cross,Senior Secure,Senior Citizen,20870,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",91,91.2,2 years,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1134,Kaiser Permanente,Senior Secure,Individual,35775,"Critical Illness, Surgery","Employed, Company-sponsored",460,83.92,1 year,Maternity Benefits,Discounted Medicines,Children
POL1135,MetLife,Family Protect,Individual,12973,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",82,70.26,2 years,Dental & Vision,Discounted Medicines,Adults
POL1136,Cigna,Corporate Shield,Individual,45292,Full Coverage,"Employed, Company-sponsored",90,92.81,2 years,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1137,UnitedHealth,Corporate Shield,Individual,23296,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",202,80.47,3 months,Maternity Benefits,Fitness Membership,Seniors
POL1138,UnitedHealth,Critical Guard,Individual,18221,"Maternity, Vision, Dental","Self-employed, Tax Benefits",329,88.68,3 months,Pre-existing conditions (2 years),Discounted Medicines,Children
POL1139,Blue Cross,Basic Care,Corporate,37379,"Critical Illness, Surgery","Self-employed, Tax Benefits",181,70.23,1 month,Pre-existing conditions (2 years),24/7 Teleconsultation,Critical Illness
POL1140,Cigna,Critical Guard,Senior Citizen,48779,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",133,70.22,6 months,Dental & Vision,Discounted Medicines,Adults
POL1141,Humana,Comprehensive Plus,Individual,18985,"Hospitalization, OPD","Employed, Company-sponsored",76,92.46,1 year,Maternity Benefits,Free Annual Checkup,Critical Illness
POL1142,UnitedHealth,Comprehensive Plus,Senior Citizen,32052,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",104,97.85,6 months,Dental & Vision,Discounted Medicines,Critical Illness
POL1143,UnitedHealth,Critical Guard,Corporate,8696,Full Coverage,"18-60 years, No pre-existing conditions",80,89.63,2 years,Cosmetic Surgery,Fitness Membership,Corporate
POL1144,Kaiser Permanente,Family Protect,Individual,36093,"Hospitalization, OPD","Self-employed, Tax Benefits",490,82.52,2 years,Pre-existing conditions (2 years),Fitness Membership,Children
POL1145,Cigna,Family Protect,Family,42904,Full Coverage,"18-60 years, No pre-existing conditions",204,76.07,3 months,Dental & Vision,Discounted Medicines,Seniors
POL1146,Blue Cross,Corporate Shield,Individual,7162,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",458,86.25,1 month,Maternity Benefits,Free Annual Checkup,Seniors
POL1147,Aetna,Critical Guard,Senior Citizen,34327,"Critical Illness, Surgery","60+ years, Medical Checkup Required",375,80.93,6 months,Cosmetic Surgery,Fitness Membership,Children
POL1148,Cigna,Senior Secure,Corporate,11393,Full Coverage,"60+ years, Medical Checkup Required",333,79.56,1 month,Pre-existing conditions (2 years),Discounted Medicines,Critical Illness
POL1149,Aetna,Basic Care,Family,8654,"Hospitalization, OPD","18-60 years, No pre-existing conditions",324,97.57,6 months,Pre-existing conditions (2 years),Discounted Medicines,Adults
POL1150,MetLife,Basic Care,Family,30960,"Hospitalization, OPD","Employed, Company-sponsored",312,93.93,1 month,Maternity Benefits,Fitness Membership,Critical Illness
POL1151,Aetna,Corporate Shield,Senior Citizen,41980,"Hospitalization, OPD","18-60 years, No pre-existing conditions",382,78.09,6 months,Pre-existing conditions (2 years),Fitness Membership,Seniors
POL1152,Humana,Comprehensive Plus,Corporate,17304,"Maternity, Vision, Dental","18-60 years, No pre-existing conditions",378,76.32,3 months,Pre-existing conditions (2 years),Discounted Medicines,Seniors
POL1153,Kaiser Permanente,Corporate Shield,Corporate,39509,"Hospitalization, OPD","18-60 years, No pre-existing conditions",178,73.67,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Adults
POL1154,Kaiser Permanente,Corporate Shield,Family,13550,Full Coverage,"60+ years, Medical Checkup Required",182,94.59,1 month,Pre-existing conditions (2 years),Free Annual Checkup,Corporate
POL1155,Humana,Corporate Shield,Corporate,41404,"Maternity, Vision, Dental","60+ years, Medical Checkup Required",439,92.07,2 years,Dental & Vision,Free Annual Checkup,Children
